# RELEASE GROUPS    STARTING LENGTH    NUMBER INTERVALS    INTERVAL LENGTH
        54            2                54                2
#
#
# TAG RECOVERIES
#    1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54
     8  28   4  15  35 131  19  80 119  82  20 143 176 111 301 177 197 103  15   0 129  40 118  71 119 110 123 136  94 142 149 105 113 127  65  25  65  68   3   0   2   0  74   4  24 150   0  55  74   5   4  75   0   0
#
#
#---------------------------------
#   1 - RELEASE REGION    YEAR    MONTH
        46             9         1981              2            2
        46             9         1981              5            5
        46             9         1981              8            3
        46             9         1982              8            1
        48             5         1980             11            3
        48             5         1981              2            8
        48             5         1981              5            1
        48             5         1981              8            1
        48             5         1982              2            2
        48             9         1980             11            2
        48             9         1981              2            1
        48             9         1981              5            2
        48             9         1981              8            3
        48             9         1982              2            1
        48            13         1980             11            1
        48            13         1981              2            1
        48            13         1981              8            1
        48            13         1982              2            1
        50             5         1980             11            9
        50             5         1981              2            8
        50             5         1981              5            3
        50             5         1981             11            2
        50             5         1982              2            1
        50             9         1981             11            1
        50            13         1980             11            2
        50            13         1982              2            1
        52             5         1980             11            7
        52             5         1981              2            4
        52             5         1981              8            1
        52             9         1980              8            1
        52            13         1981              2            1
        54             5         1980             11            1
        54             5         1982              2            1
        56             5         1980             11            3
        56             9         1980              8            1
        56             9         1980             11            1
        58             5         1980             11            1
        58             5         1981              2            1
        58             5         1981              5            1
        58             9         1980             11            1
        58            13         1980             11            1
        60             5         1980             11            7
        60             5         1981              2            1
        60             5         1981              5            2
        60             9         1981              5            1
        60            13         1980             11            1
        62             1         1981              5            1
        62             1         1981              8            1
        62             5         1980             11            3
        62             5         1981              2            3
        62             5         1981              5            3
        64             5         1980             11            1
        66             5         1981              5            1
#
#
#---------------------------------
#  10 - RELEASE REGION    YEAR    MONTH
             2         1989        8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 12 35 56 135 132 99 245 953 1132 665 317 131 71 24 21 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        36             7         1989             11            1
        38             7         1989              8            2
        40             7         1989              8            2
        42             7         1989             11            2
        44             7         1989              8            5
        44             7         1989             11            5
        44             9         1989             11            1
        44             9         1990              2            2
        44             9         1990              5            1
        46             7         1989              8           16
        46             7         1989             11            8
        46             7         1990              5            1
        46             7         1990              8            2
        46             9         1989              8            3
        48             7         1989              8            7
        48             7         1989             11            3
        48             9         1989              8            2
        48             9         1989             11            1
        50             7         1989              8            2
